,iloc,distance
385,4,3.029839498749408
386,4,1.3897752745378231
387,0,3.64495378295799
388,3,1.9079649212284229
389,3,2.005415056707879
390,4,1.350262294917828
391,3,3.332632255488844
392,4,2.5668295775883783
393,2,12.007393037988464
394,4,2.0125199604941044
395,4,2.465875007933577
396,3,2.6389624875109825
397,4,4.421759236993366
398,1,2.9541626721023464
399,3,2.225933980514355
400,3,1.5088422976210036
401,3,1.8508095797293
402,1,3.8718189651608546
403,3,3.3542110872350546
404,1,2.6481751364001207
405,4,3.268262220147875
406,4,2.189922598954583
407,4,1.3427943360469006
408,1,2.283410796047007
409,3,5.278571633602359
410,4,1.4536013418151834
411,3,2.9405686925340344
412,4,3.9895914607869054
413,1,1.960782318724154
414,3,2.0224305524921844
415,2,7.3730656880449645
416,1,5.247774250545221
417,2,3.649930181557933
418,3,2.4680865577598543
419,3,2.9305785135135944
420,3,2.023204709092529
421,4,1.4999345358927296
422,4,2.196721281766523
423,2,3.681093707242689
424,1,3.3379474721862996
425,4,2.6815139632987353
426,4,2.0780432473601707
427,4,1.310990242359121
428,1,1.9279979649465833
429,1,2.4864017317542166
430,1,3.3242534518063245
431,1,3.651808137711849
432,4,1.585298789235901
433,4,2.5617062679860245
434,4,1.069758744331496
435,1,2.072564639259893
436,3,2.6069142209287923
437,3,3.386664229232429
438,4,1.3492021109805834
439,3,4.09493275746751
440,4,2.1873562928865464
441,1,3.9619819655015704
442,4,1.5168752594168178
443,3,1.7018230554003382
444,3,3.381881326808869
445,3,3.8356494102142737
446,3,1.9298143605261247
447,4,3.7504970654393626
448,4,1.3674453847834274
449,4,2.8637230153917503
450,3,3.3225461164674783
451,3,3.806386625664774
452,3,3.7039556770316926
453,1,6.2508616590225055
454,3,3.768934808887033
455,3,2.2097296768995287
456,3,1.8820322246694678
457,3,1.7260422086741307
458,4,1.3655542645009726
459,2,4.212410080197938
460,3,2.769412718539382
461,3,3.5271886196489075
462,3,1.1952427439759479
463,3,1.5862365596598615
464,4,1.3521494134978802
465,1,1.8316246123034594
466,3,1.9489902311906924
467,3,1.9957880078522878
468,2,4.473362311207877
469,4,2.8084492921340285
470,1,4.619234079809988
471,1,2.5363446780009644
472,3,1.9749461359757827
473,4,1.3109931080104438
474,4,1.6133645284469897
475,4,3.49249843602969
476,3,2.3298840350796017
477,2,3.576551261439892
478,4,1.4628218624464293
479,4,1.936781834418349
480,3,2.7842698796326575
481,3,2.0441576420298495
482,1,7.106832340327561
483,4,2.038153560664764
484,3,4.95864617804471
485,2,4.776833857066943
486,1,2.4303880981269868
487,3,3.8634598720423905
488,1,2.382257024852599
489,3,3.52565978945693
490,3,3.372048861809666
491,1,4.426307845405407
492,2,3.499744178620028
493,4,1.662355305445766
494,3,3.5194016896714375
495,1,4.6169305777181195
